Country Name,Country Code,TouristMean_1990_2020
Aruba,ABW,755057
Afghanistan,AFG,0
Angola,AGO,231346
Albania,ALB,1379653
Andorra,AND,1975269
Arab World,ARB,57158610
United Arab Emirates,ARE,5414461
Argentina,ARG,4259846
Armenia,ARM,521423
American Samoa,ASM,21730
Antigua and Barbuda,ATG,222346
Australia,AUS,5305807
Austria,AUT,19909000
Azerbaijan,AZE,948423
Burundi,BDI,113307
Belgium,BEL,6496961
Benin,BEN,168653
Burkina Faso,BFA,175307
Bangladesh,BGD,260153
Bulgaria,BGR,4836884
Bahrain,BHR,6354269
"Bahamas, The",BHS,1391307
Bosnia and Herzegovina,BIH,320769
Belarus,BLR,2220315
Belize,BLZ,232692
Bermuda,BMU,263692
Bolivia,BOL,550730
Brazil,BRA,4617692
Barbados,BRB,501076
Brunei Darussalam,BRN,116538
Bhutan,BTN,58530
Botswana,BWA,1154346
Central African Republic,CAF,35538
Canada,CAN,16738153
Central Europe and the Baltics,CEB,57203935
Switzerland,CHE,7184000
Channel Islands,CHI,0
Chile,CHL,2599692
China,CHN,41233038
Cote d'Ivoire,CIV,348807
Cameroon,CMR,326307
"Congo, Dem. Rep.",COD,93153
"Congo, Rep.",COG,87115
Colombia,COL,1584346
Comoros,COM,20838
Cabo Verde,CPV,266500
Costa Rica,CRI,1650923
Caribbean small states,CSS,5157822
Cuba,CUB,2180384
Curacao,CUW,285230
Cayman Islands,CYM,309961
Cyprus,CYP,2322807
Czech Republic,CZE,6063076
Germany,DEU,22635423
Djibouti,DJI,25707
Dominica,DMA,67903
Denmark,DNK,6398076
Dominican Republic,DOM,3577834
Algeria,DZA,1455384
East Asia & Pacific (excluding high income),EAP,94420363
Early-demographic dividend,EAR,136713905
East Asia & Pacific,EAS,158336353
Europe & Central Asia (excluding high income),ECA,76111187
Europe & Central Asia,ECS,437558845
Ecuador,ECU,951500
"Egypt, Arab Rep.",EGY,7103242
Euro area,EMU,264370123
Eritrea,ERI,117884
Spain,ESP,50941692
Estonia,EST,1850192
