country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Afghanistan,21413614653.3241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,103042328743.665,51.8,6.7,4.4,11.5,11.9,13.5,0.0,0.0,0.0,0.0
Albania,13471082475.1768,51.4,4.5,4.8,15.21,9.9,9.6,0.0,4.6,0.0,0.0
Andorra,3319880351.13342,31.2,8.2,2.6,11.6,35.1,11.3,0.0,0.0,0.0,0.0
United Arab Emirates,384222464261.40204,39.0,4.0,3.0,10.0,25.0,19.0,0.0,0.0,0.0,20.0
Argentina,447517812725.52,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,6.0
Armenia,11501998665.6524,57.0,3.2,3.4,17.4,6.7,11.4,0.3,0.6,0.0,0.0
American Samoa,534555066.07929504,19.7,3.4,7.9,25.6,26.4,12.8,4.2,0.0,0.0,0.0
Antigua and Barbuda,1344373697.9233,46.0,7.0,7.0,12.0,15.0,13.0,0.0,0.0,0.0,0.0
Australia,1349304594617.26,48.44,3.81,19.38,3.46,17.3,7.61,0.0,0.0,0.0,42.1
Austria,420040461384.701,31.4,7.0,4.4,18.5,19.7,11.1,0.0,7.9,0.0,25.66
Azerbaijan,57195531761.5917,45.19,5.28,3.49,13.73,10.93,7.87,3.09,0.0,10.42,0.0
Burundi,2297241391.8459396,81.0,2.9,2.1,3.2,7.3,3.5,0.0,0.0,0.0,0.0
Belgium,515102640677.261,14.18,3.1,1.91,40.14,18.38,13.94,0.0,2.37,5.84,34.303000000000004
Benin,9102277422.82945,52.1,1.6,1.6,34.3,3.1,7.3,0.0,0.0,0.0,25.0
Burkina Faso,12380518526.0539,21.0,1.0,1.0,61.0,7.0,9.0,0.0,0.0,0.0,12.0
Bangladesh,167771337874.21802,80.57999999999998,0.44,0.5,8.59,3.04,4.67,1.08,0.0,1.1,0.0
Bulgaria,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
Bahrain,31769062885.3112,59.1,3.4,2.1,15.2,12.8,7.4,0.0,0.0,0.0,8.0
"Bahamas, The",10343803831.7942,46.0,7.0,7.0,12.0,15.0,13.0,0.0,0.0,0.0,0.0
